 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  15. 4.    Time:  12:27: 6
 Units: L = cm   , T = hours, M = mmol 



                               Node( 32)

         time         h        theta    Temp   
         48.5000     -110.53  0.4039   20.000
         49.0000     -111.32  0.4035   20.000
         49.5000     -112.10  0.4031   20.000
         50.0000     -112.82  0.4028   20.000
         50.5000     -113.50  0.4025   20.000
         51.0000     -114.14  0.4022   20.000
         51.5000     -114.75  0.4019   20.000
         52.0000     -115.32  0.4016   20.000
         52.5000     -115.86  0.4014   20.000
         53.0000     -116.38  0.4011   20.000
         53.5000     -116.88  0.4009   20.000
         54.0000     -117.37  0.4006   20.000
         54.5000     -117.83  0.4004   20.000
         55.0000     -118.28  0.4002   20.000
         55.5000     -118.71  0.4000   20.000
         56.0000     -119.13  0.3998   20.000
         56.5000     -119.54  0.3996   20.000
         57.0000     -119.94  0.3994   20.000
         57.5000     -120.41  0.3992   20.000
         58.0000     -120.90  0.3990   20.000
         58.5000     -121.51  0.3987   20.000
         59.0000     -122.14  0.3984   20.000
         59.5000     -122.95  0.3980   20.000
         60.0000     -123.78  0.3976   20.000
         60.5000     -124.71  0.3972   20.000
         61.0000     -125.62  0.3967   20.000
         61.5000     -126.54  0.3963   20.000
         62.0000     -127.43  0.3959   20.000
         62.5000     -127.46  0.3958   20.000
         63.0000     -126.44  0.3963   20.000
         63.5000     -125.88  0.3966   20.000
         64.0000     -125.91  0.3966   20.000
         64.5000     -126.08  0.3965   20.000
         65.0000     -126.32  0.3964   20.000
         65.5000     -126.59  0.3963   20.000
         66.0000     -126.85  0.3961   20.000
         66.5000     -127.11  0.3960   20.000
         67.0000     -127.37  0.3959   20.000
         67.5000     -127.63  0.3958   20.000
         68.0000     -127.88  0.3956   20.000
         68.5000     -128.13  0.3955   20.000
         69.0000     -128.37  0.3954   20.000
         69.5000     -128.61  0.3953   20.000
         70.0000     -128.85  0.3952   20.000
         70.5000     -129.09  0.3951   20.000
         71.0000     -129.32  0.3950   20.000
         71.5000     -129.55  0.3949   20.000
         72.0000     -129.78  0.3947   20.000
         72.5000     -130.01  0.3946   20.000
         73.0000     -130.23  0.3945   20.000
         73.5000     -130.45  0.3944   20.000
         74.0000     -130.68  0.3943   20.000
         74.5000     -130.89  0.3942   20.000
         75.0000     -131.11  0.3941   20.000
         75.5000     -131.32  0.3940   20.000
         76.0000     -131.54  0.3939   20.000
         76.5000     -131.75  0.3938   20.000
         77.0000     -131.96  0.3937   20.000
         77.5000     -132.19  0.3936   20.000
         78.0000     -132.43  0.3935   20.000
         78.5000     -132.70  0.3934   20.000
         79.0000     -132.96  0.3932   20.000
         79.5000     -133.23  0.3931   20.000
         80.0000     -133.50  0.3930   20.000
         80.5000     -133.72  0.3929   20.000
         81.0000     -133.92  0.3928   20.000
         81.5000     -134.25  0.3926   20.000
         82.0000     -134.62  0.3924   20.000
         82.5000     -135.07  0.3922   20.000
         83.0000     -135.52  0.3920   20.000
         83.5000     -136.01  0.3918   20.000
         84.0000     -136.50  0.3915   20.000
         84.5000     -137.00  0.3913   20.000
         85.0000     -137.50  0.3911   20.000
         85.5000     -138.01  0.3908   20.000
         86.0000     -138.51  0.3906   20.000
         86.5000     -138.95  0.3904   20.000
         87.0000     -139.38  0.3902   20.000
         87.5000     -139.71  0.3900   20.000
         88.0000     -140.02  0.3899   20.000
         88.5000     -140.26  0.3898   20.000
         89.0000     -140.48  0.3896   20.000
         89.5000     -140.67  0.3896   20.000
         90.0000     -140.84  0.3895   20.000
         90.5000     -141.02  0.3894   20.000
         91.0000     -141.20  0.3893   20.000
         91.5000     -141.10  0.3893   20.000
         92.0000     -140.60  0.3896   20.000
         92.5000     -140.33  0.3897   20.000
         93.0000     -140.42  0.3897   20.000
         93.5000     -140.60  0.3896   20.000
         94.0000     -140.82  0.3895   20.000
         94.5000     -141.04  0.3894   20.000
         95.0000     -141.26  0.3893   20.000
         95.5000     -141.46  0.3892   20.000
         96.0000     -141.66  0.3891   20.000
         96.5000     -141.84  0.3890   20.000
         97.0000     -142.02  0.3889   20.000
         97.5000     -142.18  0.3888   20.000
         98.0000     -142.34  0.3888   20.000
         98.5000     -142.49  0.3887   20.000
         99.0000     -142.63  0.3886   20.000
         99.5000     -142.76  0.3886   20.000
        100.0000     -142.89  0.3885   20.000
        100.5000     -143.02  0.3884   20.000
        101.0000     -143.14  0.3884   20.000
        101.5000     -143.26  0.3883   20.000
        102.0000     -143.38  0.3883   20.000
        102.5000     -143.49  0.3882   20.000
        103.0000     -143.60  0.3882   20.000
        103.5000     -143.71  0.3881   20.000
        104.0000     -143.82  0.3881   20.000
        104.5000     -143.93  0.3880   20.000
        105.0000     -144.05  0.3880   20.000
        105.5000     -144.25  0.3879   20.000
        106.0000     -144.47  0.3878   20.000
        106.5000     -144.78  0.3876   20.000
        107.0000     -145.12  0.3875   20.000
        107.5000     -145.49  0.3873   20.000
        108.0000     -145.85  0.3871   20.000
        108.5000     -146.20  0.3869   20.000
        109.0000     -146.52  0.3868   20.000
        109.5000     -146.83  0.3866   20.000
        110.0000     -147.14  0.3865   20.000
        110.5000     -147.44  0.3864   20.000
        111.0000     -147.75  0.3862   20.000
        111.5000     -147.96  0.3861   20.000
        112.0000     -148.14  0.3860   20.000
        112.5000     -148.29  0.3860   20.000
        113.0000     -148.43  0.3859   20.000
        113.5000     -148.56  0.3858   20.000
        114.0000     -148.70  0.3858   20.000
        114.5000     -148.85  0.3857   20.000
        115.0000     -148.99  0.3856   20.000
        115.5000     -149.14  0.3856   20.000
        116.0000     -149.28  0.3855   20.000
        116.5000     -149.41  0.3854   20.000
        117.0000     -149.54  0.3854   20.000
        117.5000     -149.66  0.3853   20.000
        118.0000     -149.78  0.3853   20.000
        118.5000     -149.88  0.3852   20.000
        119.0000     -149.98  0.3852   20.000
        119.5000     -150.07  0.3851   20.000
        120.0000     -150.16  0.3851   20.000
        120.5000     -150.24  0.3850   20.000
        121.0000     -150.31  0.3850   20.000
        121.5000     -150.38  0.3850   20.000
        122.0000     -150.45  0.3849   20.000
        122.5000     -150.52  0.3849   20.000
        123.0000     -150.60  0.3849   20.000
        123.5000     -150.68  0.3848   20.000
        124.0000     -150.76  0.3848   20.000
        124.5000     -150.84  0.3848   20.000
        125.0000     -150.92  0.3847   20.000
        125.5000     -151.00  0.3847   20.000
        126.0000     -151.07  0.3847   20.000
        126.5000     -151.15  0.3846   20.000
        127.0000     -151.23  0.3846   20.000
        127.5000     -151.31  0.3845   20.000
        128.0000     -151.39  0.3845   20.000
        128.5000     -151.48  0.3845   20.000
        129.0000     -151.58  0.3844   20.000
        129.5000     -151.73  0.3843   20.000
        130.0000     -151.90  0.3843   20.000
        130.5000     -152.16  0.3841   20.000
        131.0000     -152.46  0.3840   20.000
        131.5000     -152.86  0.3838   20.000
        132.0000     -153.29  0.3836   20.000
        132.5000     -153.79  0.3834   20.000
        133.0000     -154.31  0.3831   20.000
        133.5000     -154.81  0.3829   20.000
        134.0000     -155.30  0.3827   20.000
        134.5000     -155.68  0.3825   20.000
        135.0000     -156.02  0.3823   20.000
        135.5000     -156.20  0.3822   20.000
        136.0000     -156.27  0.3822   20.000
        136.5000     -156.30  0.3822   20.000
        137.0000     -156.30  0.3822   20.000
        137.5000     -156.30  0.3822   20.000
        138.0000     -156.29  0.3822   20.000
        138.5000     -156.29  0.3822   20.000
        139.0000     -156.29  0.3822   20.000
        139.5000     -156.30  0.3822   20.000
        140.0000     -156.32  0.3822   20.000
        140.5000     -156.34  0.3822   20.000
        141.0000     -156.36  0.3822   20.000
        141.5000     -156.39  0.3822   20.000
        142.0000     -156.43  0.3821   20.000
        142.5000     -156.46  0.3821   20.000
        143.0000     -156.50  0.3821   20.000
        143.5000     -156.55  0.3821   20.000
        144.0000     -156.59  0.3821   20.000
        144.5000     -156.64  0.3820   20.000
        145.0000     -156.69  0.3820   20.000
        145.5000     -156.74  0.3820   20.000
        146.0000     -156.80  0.3820   20.000
        146.5000     -156.86  0.3819   20.000
        147.0000     -156.91  0.3819   20.000
        147.5000     -156.97  0.3819   20.000
        148.0000     -157.03  0.3818   20.000
        148.5000     -157.10  0.3818   20.000
        149.0000     -157.16  0.3818   20.000
        149.5000     -157.23  0.3818   20.000
        150.0000     -157.29  0.3817   20.000
        150.5000     -157.36  0.3817   20.000
        151.0000     -157.43  0.3817   20.000
        151.5000     -157.49  0.3816   20.000
        152.0000     -157.56  0.3816   20.000
        152.5000     -157.63  0.3816   20.000
        153.0000     -157.70  0.3815   20.000
        153.5000     -157.82  0.3815   20.000
        154.0000     -157.96  0.3814   20.000
        154.5000     -158.15  0.3813   20.000
        155.0000     -158.36  0.3812   20.000
        155.5000     -158.61  0.3811   20.000
        156.0000     -158.88  0.3810   20.000
        156.5000     -159.20  0.3808   20.000
        157.0000     -159.54  0.3807   20.000
        157.5000     -159.90  0.3805   20.000
        158.0000     -160.26  0.3803   20.000
        158.5000     -160.57  0.3802   20.000
        159.0000     -160.86  0.3800   20.000
        159.5000     -161.07  0.3799   20.000
        160.0000     -161.24  0.3799   20.000
        160.5000     -161.34  0.3798   20.000
        161.0000     -161.41  0.3798   20.000
        161.5000     -161.45  0.3798   20.000
        162.0000     -161.47  0.3798   20.000
        162.5000     -161.48  0.3798   20.000
        163.0000     -161.50  0.3797   20.000
        163.5000     -161.51  0.3797   20.000
        164.0000     -161.53  0.3797   20.000
        164.5000     -161.55  0.3797   20.000
        165.0000     -161.57  0.3797   20.000
        165.5000     -161.60  0.3797   20.000
        166.0000     -161.63  0.3797   20.000
        166.5000     -161.66  0.3797   20.000
        167.0000     -161.69  0.3797   20.000
        167.5000     -161.73  0.3796   20.000
        168.0000     -161.77  0.3796   20.000
        168.5000     -161.82  0.3796   20.000
        169.0000     -161.86  0.3796   20.000
        169.5000     -161.91  0.3796   20.000
        170.0000     -161.95  0.3795   20.000
        170.5000     -162.00  0.3795   20.000
        171.0000     -162.05  0.3795   20.000
        171.5000     -162.11  0.3795   20.000
        172.0000     -162.16  0.3794   20.000
        172.5000     -162.21  0.3794   20.000
        173.0000     -162.27  0.3794   20.000
        173.5000     -162.32  0.3794   20.000
        174.0000     -162.38  0.3793   20.000
        174.5000     -162.44  0.3793   20.000
        175.0000     -162.50  0.3793   20.000
        175.5000     -162.56  0.3792   20.000
        176.0000     -162.62  0.3792   20.000
        176.5000     -162.68  0.3792   20.000
        177.0000     -162.76  0.3792   20.000
        177.5000     -162.88  0.3791   20.000
        178.0000     -163.02  0.3790   20.000
        178.5000     -163.23  0.3789   20.000
        179.0000     -163.47  0.3788   20.000
        179.5000     -163.76  0.3787   20.000
        180.0000     -164.07  0.3786   20.000
        180.5000     -164.40  0.3784   20.000
        181.0000     -164.74  0.3782   20.000
        181.5000     -165.09  0.3781   20.000
        182.0000     -165.44  0.3779   20.000
        182.5000     -165.74  0.3778   20.000
        183.0000     -166.00  0.3777   20.000
        183.5000     -166.15  0.3776   20.000
        184.0000     -166.24  0.3776   20.000
        184.5000     -166.27  0.3775   20.000
        185.0000     -166.28  0.3775   20.000
        185.5000     -166.28  0.3775   20.000
        186.0000     -166.28  0.3775   20.000
        186.5000     -166.28  0.3775   20.000
        187.0000     -166.28  0.3775   20.000
        187.5000     -166.29  0.3775   20.000
        188.0000     -166.30  0.3775   20.000
        188.5000     -166.31  0.3775   20.000
        189.0000     -166.33  0.3775   20.000
        189.5000     -166.35  0.3775   20.000
        190.0000     -166.37  0.3775   20.000
        190.5000     -166.39  0.3775   20.000
        191.0000     -166.42  0.3775   20.000
        191.5000     -166.45  0.3775   20.000
        192.0000     -166.48  0.3774   20.000
        192.5000     -166.52  0.3774   20.000
        193.0000     -166.55  0.3774   20.000
        193.5000     -166.59  0.3774   20.000
        194.0000     -166.63  0.3774   20.000
        194.5000     -166.67  0.3774   20.000
        195.0000     -166.71  0.3773   20.000
        195.5000     -166.75  0.3773   20.000
        196.0000     -166.79  0.3773   20.000
        196.5000     -166.84  0.3773   20.000
        197.0000     -166.88  0.3773   20.000
        197.5000     -166.93  0.3772   20.000
        198.0000     -166.98  0.3772   20.000
        198.5000     -167.03  0.3772   20.000
        199.0000     -167.07  0.3772   20.000
        199.5000     -167.12  0.3772   20.000
        200.0000     -167.17  0.3771   20.000
        200.5000     -167.22  0.3771   20.000
        201.0000     -167.28  0.3771   20.000
        201.5000     -167.38  0.3770   20.000
        202.0000     -167.52  0.3770   20.000
        202.5000     -167.72  0.3769   20.000
        203.0000     -167.96  0.3768   20.000
        203.5000     -168.30  0.3766   20.000
        204.0000     -168.67  0.3764   20.000
        204.5000     -169.12  0.3762   20.000
        205.0000     -169.59  0.3760   20.000
        205.5000     -170.09  0.3758   20.000
        206.0000     -170.58  0.3756   20.000
        206.5000     -171.02  0.3754   20.000
        207.0000     -171.41  0.3752   20.000
        207.5000     -171.67  0.3751   20.000
        208.0000     -171.87  0.3750   20.000
        208.5000     -171.95  0.3749   20.000
        209.0000     -171.98  0.3749   20.000
        209.5000     -171.96  0.3749   20.000
        210.0000     -171.94  0.3750   20.000
        210.5000     -171.90  0.3750   20.000
        211.0000     -171.86  0.3750   20.000
        211.5000     -171.83  0.3750   20.000
        212.0000     -171.80  0.3750   20.000
        212.5000     -171.77  0.3750   20.000
        213.0000     -171.75  0.3750   20.000
        213.5000     -171.74  0.3750   20.000
        214.0000     -171.72  0.3751   20.000
        214.5000     -171.71  0.3751   20.000
        215.0000     -171.71  0.3751   20.000
        215.5000     -171.71  0.3751   20.000
        216.0000     -171.71  0.3751   20.000
        216.5000     -171.71  0.3751   20.000
        217.0000     -171.72  0.3751   20.000
        217.5000     -171.73  0.3750   20.000
        218.0000     -171.74  0.3750   20.000
        218.5000     -171.76  0.3750   20.000
        219.0000     -171.78  0.3750   20.000
        219.5000     -171.79  0.3750   20.000
        220.0000     -171.81  0.3750   20.000
        220.5000     -171.84  0.3750   20.000
        221.0000     -171.86  0.3750   20.000
        221.5000     -171.88  0.3750   20.000
        222.0000     -171.91  0.3750   20.000
        222.5000     -171.94  0.3750   20.000
        223.0000     -171.96  0.3749   20.000
        223.5000     -171.99  0.3749   20.000
        224.0000     -172.02  0.3749   20.000
        224.5000     -172.06  0.3749   20.000
        225.0000     -172.09  0.3749   20.000
        225.5000     -172.20  0.3748   20.000
        226.0000     -172.35  0.3748   20.000
        226.5000     -172.62  0.3746   20.000
        227.0000     -172.98  0.3745   20.000
        227.5000     -173.46  0.3743   20.000
        228.0000     -174.04  0.3740   20.000
        228.5000     -174.67  0.3737   20.000
        229.0000     -175.32  0.3734   20.000
        229.5000     -175.97  0.3731   20.000
        230.0000     -176.59  0.3728   20.000
        230.5000     -177.14  0.3726   20.000
        231.0000     -177.61  0.3724   20.000
        231.5000     -177.94  0.3722   20.000
        232.0000     -178.12  0.3721   20.000
        232.5000     -178.20  0.3721   20.000
        233.0000     -178.21  0.3721   20.000
        233.5000     -178.16  0.3721   20.000
        234.0000     -178.09  0.3721   20.000
        234.5000     -178.01  0.3722   20.000
        235.0000     -177.92  0.3722   20.000
        235.5000     -177.84  0.3723   20.000
        236.0000     -177.77  0.3723   20.000
        236.5000     -177.70  0.3723   20.000
