 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  15. 4.    Time:  12:27: 6
 Units: L = cm   , T = hours, M = mmol 

       Time          rTop        rRoot        vTop         vRoot        vBot       sum(rTop)   sum(rRoot)    sum(vTop)   sum(vRoot)    sum(vBot)      hTop         hRoot        hBot        RunOff    sum(RunOff)     Volume     sum(Infil)    sum(Evap) TLevel Cum(WTrans)  SnowLayer
        [T]         [L/T]        [L/T]        [L/T]        [L/T]        [L/T]         [L]          [L]          [L]         [L]           [L]         [L]           [L]         [L]          [L/T]         [L]          [L]          [L]          [L]

      48.5000  0.10000E-03  0.00000E+00  0.99677E-04  0.00000E+00 -0.98035E-02  0.50000E-04  0.00000E+00  0.49933E-04  0.00000E+00 -0.49001E-02 -0.11361E+03  0.00000E+00 -0.11009E+03  0.00000E+00  0.00000E+00  0.40404E+02  0.00000E+00  0.49933E-04      4  0.00000E+00      0.000
      49.0000  0.10000E-03  0.00000E+00  0.99622E-04  0.00000E+00 -0.98041E-02  0.10000E-03  0.00000E+00  0.99715E-04  0.00000E+00 -0.98020E-02 -0.11514E+03  0.00000E+00 -0.11009E+03  0.00000E+00  0.00000E+00  0.40399E+02  0.00000E+00  0.99715E-04      7  0.00000E+00      0.000
      49.5000  0.00000E+00  0.00000E+00 -0.60071E-06  0.00000E+00 -0.98044E-02  0.10000E-03  0.00000E+00  0.99454E-04  0.00000E+00 -0.14704E-01 -0.11626E+03  0.00000E+00 -0.11009E+03  0.00000E+00  0.00000E+00  0.40394E+02  0.00000E+00  0.99715E-04      9  0.00000E+00      0.000
      50.0000  0.00000E+00  0.00000E+00  0.21685E-06  0.00000E+00 -0.98046E-02  0.10000E-03  0.00000E+00  0.99563E-04  0.00000E+00 -0.19607E-01 -0.11718E+03  0.00000E+00 -0.11009E+03  0.00000E+00  0.00000E+00  0.40390E+02  0.00000E+00  0.99823E-04     10  0.00000E+00      0.000
      50.5000  0.00000E+00  0.00000E+00 -0.89704E-07  0.00000E+00 -0.98048E-02  0.10000E-03  0.00000E+00  0.99518E-04  0.00000E+00 -0.24509E-01 -0.11801E+03  0.00000E+00 -0.11009E+03  0.00000E+00  0.00000E+00  0.40385E+02  0.00000E+00  0.99823E-04     11  0.00000E+00      0.000
      51.0000  0.00000E+00  0.00000E+00  0.12470E-06  0.00000E+00 -0.98048E-02  0.10000E-03  0.00000E+00  0.99580E-04  0.00000E+00 -0.29411E-01 -0.11876E+03  0.00000E+00 -0.11009E+03  0.00000E+00  0.00000E+00  0.40380E+02  0.00000E+00  0.99886E-04     12  0.00000E+00      0.000
      51.5000  0.00000E+00  0.00000E+00  0.60646E-06  0.00000E+00 -0.98050E-02  0.10000E-03  0.00000E+00  0.99883E-04  0.00000E+00 -0.34314E-01 -0.11946E+03  0.00000E+00 -0.11009E+03  0.00000E+00  0.00000E+00  0.40375E+02  0.00000E+00  0.10019E-03     13  0.00000E+00      0.000
      52.0000  0.00000E+00  0.00000E+00 -0.22297E-06  0.00000E+00 -0.98050E-02  0.10000E-03  0.00000E+00  0.99772E-04  0.00000E+00 -0.39216E-01 -0.12011E+03  0.00000E+00 -0.11009E+03  0.00000E+00  0.00000E+00  0.40370E+02  0.00000E+00  0.10019E-03     14  0.00000E+00      0.000
